Year,NSW,VIC,SA,QLD,WA,TAS,NT,ACT,Australia,,NSWg,VICg,SAg,QLDg,WAg,TASg,NTg,ACTg,,NSWp,VICp,SAp,QLDp,WAp,TASp,NTp,ACTp
1944,2901039,1997954,623030,1068255,484775,246889,10477,14605,7347024,,,,,,,,,,,,,,,,,,
1945,2932998,2015107,630882,1084864,490088,250280,10546,15432,7430197,,1.1,0.86,1.26,1.55,1.1,1.37,0.66,5.66,,0.39,0.27,0.08,0.15,0.07,0.03,0.00,0.00
1946,2962392,2039769,640418,1096831,496973,254570,10642,16386,7517981,,1,1.22,1.51,1.1,1.4,1.71,0.91,6.18,,0.39,0.27,0.09,0.15,0.07,0.03,0.00,0.00
1947,3002634,2062709,654632,1112818,508762,267936,10892,17580,7637963,,1.36,1.12,2.22,1.46,2.37,5.25,2.35,7.29,,0.39,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1948,3048306,2108125,670615,1138544,521999,273401,12185,19290,7792465,,1.52,2.2,2.44,2.31,2.6,2.04,11.87,9.73,,0.39,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1949,3149806,2168884,695618,1170319,544184,281343,13339,22077,8045570,,3.33,2.88,3.73,2.79,4.25,2.9,9.47,14.45,,0.39,0.27,0.09,0.15,0.07,0.03,0.00,0.00
1950,3241057,2237182,722843,1205418,572649,290333,14420,23579,8307481,,2.9,3.15,3.91,3,5.23,3.2,8.1,6.8,,0.39,0.27,0.09,0.15,0.07,0.03,0.00,0.00
1951,3314672,2299538,743785,1238278,590339,301787,14614,24894,8527907,,2.27,2.79,2.9,2.73,3.09,3.95,1.35,5.58,,0.39,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1952,3367986,2366719,768570,1271256,612935,309558,14771,27774,8739569,,1.61,2.92,3.33,2.66,3.83,2.57,1.07,11.57,,0.39,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1953,3409009,2416035,785665,1298420,631743,316465,15635,29714,8902686,,1.22,2.08,2.22,2.14,3.07,2.23,5.85,6.98,,0.38,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1954,3462532,2477986,808250,1325481,648707,319218,16456,31306,9089936,,1.57,2.56,2.87,2.08,2.69,0.87,5.25,5.36,,0.38,0.27,0.09,0.15,0.07,0.04,0.00,0.00
1955,3526534,2546332,834661,1358858,668609,324919,17952,33960,9311825,,1.85,2.76,3.27,2.52,3.07,1.79,9.09,8.48,,0.38,0.27,0.09,0.15,0.07,0.03,0.00,0.00
1956,3589371,2618112,861952,1392573,681268,331340,19427,36828,9530871,,1.78,2.82,3.27,2.48,1.89,1.98,8.22,8.45,,0.38,0.27,0.09,0.15,0.07,0.03,0.00,0.00
1957,3662904,2680555,886252,1420501,695234,338807,20720,39114,9744087,,2.05,2.39,2.82,2.01,2.05,2.25,6.66,6.21,,0.38,0.28,0.09,0.15,0.07,0.03,0.00,0.00
1958,3728800,2745165,908053,1449337,707196,343898,21956,42953,9947358,,1.8,2.41,2.46,2.03,1.72,1.5,5.97,9.81,,0.37,0.28,0.09,0.15,0.07,0.03,0.00,0.00
1959,3794077,2811429,934497,1477161,718691,351349,23814,49950,10160968,,1.75,2.41,2.91,1.92,1.63,2.17,8.46,16.29,,0.37,0.28,0.09,0.15,0.07,0.03,0.00,0.00
1960,3877261,2888290,957022,1502286,731033,355969,24787,55272,10391920,,2.19,2.73,2.41,1.7,1.72,1.31,4.09,10.65,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1961,3951651,2955299,979351,1540251,755213,353258,45299,62332,10642654,,1.92,2.32,2.33,2.53,3.31,-0.76,82.75,12.77,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1962,4022361,3011043,998245,1562845,777248,358087,46684,69546,10846059,,1.79,1.89,1.93,1.47,2.92,1.37,3.06,11.57,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1963,4077743,3071046,1022387,1595446,798895,362799,49891,77275,11055482,,1.38,1.99,2.42,2.09,2.79,1.32,6.87,11.11,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1964,4142121,3137921,1051954,1626525,818121,366508,52754,84525,11280429,,1.58,2.18,2.89,1.95,2.41,1.02,5.74,9.38,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1965,4211049,3195860,1082958,1659423,838248,369608,55464,92798,11505408,,1.66,1.85,2.95,2.02,2.46,0.85,5.14,9.79,,0.37,0.28,0.09,0.14,0.07,0.03,0.00,0.01
1966,4267452,3249843,1103740,1687062,864093,373309,59352,99992,11704843,,1.34,1.69,1.92,1.67,3.08,1,7.01,7.75,,0.36,0.28,0.09,0.14,0.07,0.03,0.01,0.01
1967,4329913,3303606,1115926,1715803,896988,377841,64399,107777,11912253,,1.46,1.65,1.1,1.7,3.81,1.21,8.5,7.79,,0.36,0.28,0.09,0.14,0.08,0.03,0.01,0.01
1968,4401212,3356827,1132137,1747724,937800,383055,70223,116604,12145582,,1.65,1.61,1.45,1.86,4.55,1.38,9.04,8.19,,0.36,0.28,0.09,0.14,0.08,0.03,0.01,0.01
1969,4490765,3421178,1149375,1779690,976620,386998,75831,126760,12407217,,2.03,1.92,1.52,1.83,4.14,1.03,7.99,8.71,,0.36,0.28,0.09,0.14,0.08,0.03,0.01,0.01
1970,4573735,3482031,1170230,1812784,1014052,390253,82822,137562,12663469,,1.85,1.78,1.81,1.86,3.83,0.84,9.22,8.52,,0.36,0.27,0.09,0.14,0.08,0.03,0.01,0.01
1971,4766619,3633843,1208712,1874930,1070347,399450,88899,155580,13198380,,4.22,4.36,3.29,3.43,5.55,2.36,7.34,13.1,,0.36,0.28,0.09,0.14,0.08,0.03,0.01,0.01
1972,4820846,3686136,1222148,1924658,1092604,401886,94626,166384,13409288,,1.14,1.44,1.11,2.65,2.08,0.61,6.44,6.94,,0.36,0.27,0.09,0.14,0.08,0.03,0.01,0.01
1973,4868118,3730824,1235582,1981634,1113982,404625,99884,179695,13614344,,0.98,1.21,1.1,2.96,1.96,0.68,5.56,8,,0.36,0.27,0.09,0.15,0.08,0.03,0.01,0.01
1974,4925995,3779587,1259758,2032973,1145991,408826,85217,193631,13831978,,1.19,1.31,1.96,2.59,2.87,1.04,-14.68,7.76,,0.36,0.27,0.09,0.15,0.08,0.03,0.01,0.01
1975,4947441,3800656,1270654,2072325,1167403,411457,95488,203457,13968881,,0.44,0.56,0.86,1.94,1.87,0.64,12.05,5.07,,0.35,0.27,0.09,0.15,0.08,0.03,0.01,0.01
1976,4978461,3823941,1280157,2110431,1191680,413702,101135,210600,14110107,,0.63,0.61,0.75,1.84,2.08,0.55,5.91,3.51,,0.35,0.27,0.09,0.15,0.08,0.03,0.01,0.01
1977,5028960,3852589,1292265,2151026,1217216,416549,106879,216049,14281533,,1.01,0.75,0.95,1.92,2.14,0.69,5.68,2.59,,0.35,0.27,0.09,0.15,0.09,0.03,0.01,0.02
1978,5079392,3874501,1298634,2191586,1236401,419124,111904,219288,14430830,,1,0.57,0.49,1.89,1.58,0.62,4.7,1.5,,0.35,0.27,0.09,0.15,0.09,0.03,0.01,0.02
1979,5140192,3899993,1304609,2239699,1257092,422235,116081,222580,14602481,,1.2,0.66,0.46,2.2,1.67,0.74,3.73,1.5,,0.35,0.27,0.09,0.15,0.09,0.03,0.01,0.02
1980,5205380,3930655,1312623,2301702,1283505,425202,121686,226617,14807370,,1.27,0.79,0.61,2.77,2.1,0.7,4.83,1.81,,0.35,0.27,0.09,0.16,0.09,0.03,0.01,0.02
1981,5266894,3968398,1325176,2387943,1320221,428283,127718,229484,15054117,,1.18,0.96,0.96,3.75,2.86,0.72,4.96,1.27,,0.35,0.26,0.09,0.16,0.09,0.03,0.01,0.02
